Pi Fraction Statistical Data
Created 09-18-2016 11:01:54

#fractions: 215830
Mean value: 0.499283729688375

 Norm Bin#    PDF       CDF
0.56700000  1.1305   0.56751610
0.56800000  1.1305   0.56864662
0.56900000  0.9915   0.56963814
0.57000000  1.0564   0.57069453
0.57100000  0.9591   0.57165362
0.57200000  1.0749   0.57272854
0.57300000  0.9869   0.57371542
0.57400000  0.8850   0.57460038
0.57500000  0.9637   0.57556410
0.57600000  1.0796   0.57664365
0.57700000  1.0657   0.57770931
0.57800000  1.0888   0.57879813
0.57900000  1.0332   0.57983135
0.58000000  1.0286   0.58085994
0.58100000  1.0518   0.58191169
0.58200000  1.0471   0.58295881
0.58300000  0.8479   0.58380670
0.58400000  0.9498   0.58475652
0.58500000  0.9128   0.58566928
0.58600000  1.1027   0.58677200
0.58700000  1.1305   0.58790252
0.58800000  1.0564   0.58895890
0.58900000  0.9359   0.58989482
0.59000000  0.9591   0.59085391
0.59100000  1.0935   0.59194737
0.59200000  0.9452   0.59289255
0.59300000  1.0054   0.59389798
0.59400000  0.9174   0.59481536
0.59500000  1.0054   0.59582078
0.59600000  0.8433   0.59666404
0.59700000  1.0147   0.59767873
0.59800000  0.9684   0.59864708
0.59900000  1.0425   0.59968957
0.60000000  1.0240   0.60071352
0.60100000  1.0471   0.60176064
0.60200000  1.0008   0.60276143
0.60300000  1.0286   0.60379002
0.60400000  1.0657   0.60485567
0.60500000  0.9684   0.60582403
0.60600000  0.9359   0.60675995
0.60700000  0.9545   0.60771440
0.60800000  1.0749   0.60878932
0.60900000  1.1213   0.60991058
0.61000000  0.8896   0.61080017
0.61100000  1.0796   0.61187972
0.61200000  1.0101   0.61288977
0.61300000  1.0286   0.61391836
0.61400000  0.9823   0.61490062
0.61500000  1.0193   0.61591994
0.61600000  0.9452   0.61686513
0.61700000  1.0193   0.61788445
0.61800000  0.9220   0.61880647
0.61900000  1.0054   0.61981189
0.62000000  1.0564   0.62086828
0.62100000  1.0842   0.62195246
0.62200000  1.0657   0.62301812
0.62300000  0.9915   0.62400964
0.62400000  1.0332   0.62504286
0.62500000  0.9637   0.62600658
0.62600000  1.0518   0.62705833
0.62700000  0.9081   0.62796646
0.62800000  1.0657   0.62903211
0.62900000  0.9545   0.62998656
0.63000000  1.0379   0.63102442
0.63100000  1.0147   0.63203910
0.63200000  1.0981   0.63313719
0.63300000  0.9962   0.63413335
0.63400000  1.0193   0.63515267
0.63500000  0.9591   0.63611175
0.63600000  0.8942   0.63700598
0.63700000  0.9359   0.63794190
0.63800000  0.9406   0.63888245
0.63900000  1.0147   0.63989714
0.64000000  1.0240   0.64092110
0.64100000  1.0240   0.64194505
0.64200000  1.0054   0.64295047
0.64300000  1.0101   0.64396052
0.64400000  0.9869   0.64494741
0.64500000  1.0610   0.64600843
0.64600000  0.9684   0.64697679
0.64700000  1.0518   0.64802854
0.64800000  1.0749   0.64910346
0.64900000  1.0518   0.65015521
0.65000000  1.0193   0.65117454
0.65100000  1.1305   0.65230505
0.65200000  0.9406   0.65324561
0.65300000  1.0101   0.65425566
0.65400000  0.8757   0.65513135
0.65500000  1.1491   0.65628041
0.65600000  0.9406   0.65722096
0.65700000  0.9313   0.65815225
0.65800000  1.0425   0.65919474
0.65900000  0.9128   0.66010749
0.66000000  0.8479   0.66095538
0.66100000  0.9406   0.66189594
0.66200000  0.9406   0.66283649
0.66300000  0.9359   0.66377241
0.66400000  1.0842   0.66485660
0.66500000  1.0935   0.66595005
0.66600000  0.9128   0.66686281
0.66700000  1.0425   0.66790530
0.66800000  0.9915   0.66889682
0.66900000  0.9545   0.66985127
0.67000000  1.0286   0.67087986
0.67100000  1.0379   0.67191771
0.67200000  0.9035   0.67282120
0.67300000  0.9452   0.67376639
0.67400000  1.0054   0.67477181
0.67500000  0.9545   0.67572627
0.67600000  1.0518   0.67677802
0.67700000  0.9545   0.67773247
0.67800000  0.9823   0.67871473
0.67900000  1.0518   0.67976648
0.68000000  1.0610   0.68082750
0.68100000  0.9591   0.68178659
0.68200000  0.9359   0.68272251
0.68300000  1.0703   0.68379280
0.68400000  1.0981   0.68489089
0.68500000  1.1074   0.68599824
0.68600000  0.8572   0.68685540
0.68700000  0.9637   0.68781912
0.68800000  0.9545   0.68877357
0.68900000  1.0286   0.68980216
0.69000000  0.9591   0.69076125
0.69100000  0.8989   0.69166010
0.69200000  1.0240   0.69268406
0.69300000  0.9869   0.69367094
0.69400000  1.0193   0.69469027
0.69500000  1.0703   0.69576055
0.69600000  1.0425   0.69680304
0.69700000  1.0564   0.69785943
0.69800000  0.9267   0.69878608
0.69900000  0.9498   0.69973590
0.70000000  1.0657   0.70080156
0.70100000  0.9684   0.70176991
0.70200000  1.0425   0.70281240
0.70300000  1.1352   0.70394755
0.70400000  0.9591   0.70490664
0.70500000  0.9452   0.70585183
0.70600000  0.9776   0.70682945
0.70700000  0.8896   0.70771904
0.70800000  1.0471   0.70876616
0.70900000  1.1027   0.70986888
0.71000000  0.8803   0.71074920
0.71100000  1.0518   0.71180095
0.71200000  1.0425   0.71284344
0.71300000  1.0054   0.71384886
0.71400000  0.8850   0.71473382
0.71500000  0.9730   0.71570681
0.71600000  1.0749   0.71678173
0.71700000  0.9035   0.71768522
0.71800000  0.9730   0.71865820
0.71900000  0.9545   0.71961266
0.72000000  1.0147   0.72062735
0.72100000  0.9637   0.72159107
0.72200000  1.0610   0.72265209
0.72300000  1.0518   0.72370384
0.72400000  1.0286   0.72473243
0.72500000  0.9035   0.72563592
0.72600000  1.0240   0.72665987
0.72700000  1.0147   0.72767456
0.72800000  1.0749   0.72874948
0.72900000  1.1027   0.72985220
0.73000000  1.1166   0.73096882
0.73100000  1.0240   0.73199277
0.73200000  0.9869   0.73297966
0.73300000  1.0888   0.73406848
0.73400000  1.0935   0.73516193
0.73500000  0.9220   0.73608395
0.73600000  1.0008   0.73708474
0.73700000  1.0054   0.73809016
0.73800000  1.0425   0.73913265
0.73900000  0.9684   0.74010101
0.74000000  0.9823   0.74108326
0.74100000  1.0842   0.74216745
0.74200000  0.9406   0.74310800
0.74300000  0.8803   0.74398832
0.74400000  1.0379   0.74502618
0.74500000  0.8850   0.74591113
0.74600000  1.0101   0.74692119
0.74700000  1.1027   0.74802391
0.74800000  0.9545   0.74897836
0.74900000  0.8989   0.74987722
0.75000000  1.0240   0.75090117
0.75100000  0.9823   0.75188343
0.75200000  1.1583   0.75304175
0.75300000  1.0842   0.75412593
0.75400000  0.8479   0.75497382
0.75500000  0.9591   0.75593291
0.75600000  0.9915   0.75692443
0.75700000  0.9869   0.75791132
0.75800000  0.9591   0.75887041
0.75900000  0.9915   0.75986193
0.76000000  1.0518   0.76091368
0.76100000  1.1259   0.76203957
0.76200000  0.8247   0.76286429
0.76300000  1.0935   0.76395774
0.76400000  0.9730   0.76493073
0.76500000  0.9498   0.76588055
0.76600000  0.9869   0.76686744
0.76700000  0.9869   0.76785433
0.76800000  1.0008   0.76885512
0.76900000  0.9359   0.76979104
0.77000000  1.0240   0.77081499
0.77100000  1.0101   0.77182505
0.77200000  1.0749   0.77289997
0.77300000  1.0518   0.77395172
0.77400000  0.9962   0.77494788
0.77500000  1.0101   0.77595793
0.77600000  1.0935   0.77705138
0.77700000  1.0054   0.77805680
0.77800000  1.0147   0.77907149
0.77900000  1.0610   0.78013251
0.78000000  0.9730   0.78110550
0.78100000  1.0471   0.78215262
0.78200000  1.0054   0.78315804
